Name,Email,Location,Job Title,Job Type,Education,Years of Experience,Employment Type,Practice Size,Area Type,Need Sponsorship,English Proficiency,Annual Salary,Daily Rate,Daily Rate Details,% Production,Details on % Production,% Collection,Details on % Collection,Signing Bonus,Relocation Bonus
Gary Porter,ssmith@example.org,"New York, NY",Pedodontist,DSO,DDS,29,Contract,Large,Urban,True,Proficient,124786.13,458.77,Guaranteed,30.0,,40.0,The collection details,15000.0,2000.0
Adam Best,tlee@example.com,"Chicago, IL",General Dentist,Private Practice,DDS,28,Part-time,Large,Rural,True,Fluent,139667.98,513.49,Guaranteed,,,,,15000.0,2000.0
Jessica Baker,landryelijah@example.com,"New York, NY",Orthodontist,Private Practice,DMD,5,Part-time,Large,Rural,True,Basic,98490.94,362.1,Guaranteed,,,25.0,,,2000.0
Logan Ward,sgonzalez@example.com,"Los Angeles, CA",General Dentist,Private Practice,DDS with Specialization,7,Temporary,Large,Rural,False,Fluent,84607.61,311.06,Draw,20.0,,50.0,,5000.0,2000.0
Lance Blevins,frank91@example.com,"New York, NY",Pedodontist,DSO,DMD,15,Contract,Small,Rural,True,Proficient,110007.83,404.44,Draw,10.0,The production details,15.0,The collection details,15000.0,
Robert Scott,murraytroy@example.net,"Houston, TX",Pedodontist,Private Practice,DMD,17,Part-time,Large,Urban,False,Proficient,128105.16,470.97,Draw - Term Less than 1 year,10.0,The production details,25.0,,15000.0,4000.0
Kristen Clarke,williamsjenna@example.org,"Chicago, IL",Periodontist,DSO,DDS,15,Contract,Small,Urban,False,Fluent,102492.29,376.81,Guaranteed,,The production details,,,,2000.0
Abigail Hicks,jonathan31@example.net,"Los Angeles, CA",Endodontist,Private Practice,DDS,23,Part-time,Large,Rural,False,Proficient,87927.29,323.26,Guaranteed,40.0,,,The collection details,15000.0,6000.0
Dr. Elizabeth Beck,whitekevin@example.org,"Phoenix, AZ",Pedodontist,DSO,DDS,17,Part-time,Medium,Rural,False,Proficient,102744.22,377.74,Draw - Term Less than 1 year,10.0,The production details,,,,
Richard Fleming,wharris@example.net,"Los Angeles, CA",Pedodontist,Private Practice,DDS with Specialization,26,Part-time,Medium,Rural,True,Proficient,122665.02,450.97,Draw,10.0,The production details,,The collection details,15000.0,4000.0
Ariana Mason,virginia36@example.org,"Phoenix, AZ",Orthodontist,Private Practice,DDS,16,Temporary,Medium,Urban,True,Fluent,124785.0,458.77,Guaranteed,,,10.0,,,6000.0
Brian Campbell,esparzasamuel@example.org,"New York, NY",Endodontist,DSO,DMD with Specialization,12,Contract,Medium,Urban,True,Proficient,135284.15,497.37,Guaranteed,25.0,,50.0,The collection details,15000.0,4000.0
Rachel Johnson,daniel29@example.com,"Los Angeles, CA",Pedodontist,DSO,DMD with Specialization,14,Contract,Large,Urban,True,Basic,108932.82,400.49,Draw - Term Less than 1 year,30.0,,25.0,The collection details,,6000.0
Melissa Figueroa PhD,wrightchristopher@example.net,"Houston, TX",Endodontist,Private Practice,DDS with Specialization,15,Full-time,Medium,Urban,True,Basic,116690.43,429.01,Draw - Term Less than 1 year,50.0,The production details,,,,
Kenneth Lucas,bradyeric@example.org,"Los Angeles, CA",Pedodontist,DSO,DMD,11,Temporary,Large,Urban,True,Proficient,136308.76,501.14,Guaranteed,30.0,,20.0,The collection details,10000.0,4000.0
Isaiah Lopez,solischristine@example.com,"Phoenix, AZ",Endodontist,Private Practice,DMD,10,Full-time,Medium,Urban,False,Basic,149918.01,551.17,Guaranteed,,,40.0,,,
Kendra Guzman,rodriguezthomas@example.net,"Chicago, IL",General Dentist,DSO,DMD with Specialization,20,Full-time,Medium,Urban,True,Native,117237.85,431.02,Draw - Term Less than 1 year,40.0,,10.0,The collection details,15000.0,4000.0
Mitchell Hill,abishop@example.com,"New York, NY",Periodontist,DSO,DMD with Specialization,23,Contract,Small,Urban,False,Proficient,95665.09,351.71,Draw - Term Less than 1 year,40.0,,40.0,The collection details,,
Joanne Peterson,edwardstimothy@example.com,"Los Angeles, CA",General Dentist,DSO,DDS,18,Contract,Small,Rural,False,Native,121543.48,446.85,Draw,15.0,,25.0,The collection details,10000.0,6000.0
Ariel Griffin,xwarner@example.org,"Phoenix, AZ",Pedodontist,DSO,DMD with Specialization,10,Contract,Medium,Rural,True,Fluent,131472.14,483.35,Draw - Term More than 1 year,10.0,,40.0,,15000.0,
Stephanie Wilkerson,qingram@example.org,"Los Angeles, CA",Endodontist,DSO,DDS with Specialization,17,Contract,Large,Urban,False,Fluent,91808.93,337.53,Draw - Term Less than 1 year,40.0,The production details,,The collection details,15000.0,
Frank Best,penny37@example.net,"Phoenix, AZ",Orthodontist,Private Practice,DDS with Specialization,25,Full-time,Medium,Rural,False,Proficient,90996.8,334.55,Draw,30.0,,30.0,,5000.0,4000.0
Wayne Montgomery,jessicaliu@example.com,"Houston, TX",General Dentist,DSO,DDS with Specialization,18,Contract,Medium,Urban,True,Native,98900.43,363.6,Guaranteed,,The production details,30.0,The collection details,15000.0,4000.0
William Stout,nmyers@example.com,"Los Angeles, CA",Pedodontist,DSO,DMD,21,Temporary,Small,Urban,True,Proficient,148748.83,546.87,Guaranteed,40.0,,25.0,The collection details,,6000.0
Rebecca Blair,rebecca05@example.org,"Chicago, IL",Orthodontist,DSO,DMD with Specialization,3,Part-time,Large,Urban,False,Proficient,82853.55,304.61,Draw,10.0,,50.0,,10000.0,
Christopher Anderson,richardchristina@example.com,"New York, NY",Periodontist,Private Practice,DDS,1,Temporary,Large,Rural,False,Basic,143366.97,527.08,Draw,15.0,The production details,15.0,The collection details,5000.0,6000.0
Robin Mullen,gallaghertaylor@example.com,"Houston, TX",Endodontist,Private Practice,DMD with Specialization,23,Temporary,Large,Urban,True,Fluent,136525.73,501.93,Draw - Term More than 1 year,30.0,The production details,,,5000.0,4000.0
Kelly Kelly,ashleyscott@example.net,"New York, NY",General Dentist,DSO,DMD,13,Contract,Medium,Urban,True,Proficient,83535.13,307.11,Draw,10.0,,30.0,,10000.0,6000.0
Victor Clark,warnerrebecca@example.com,"Houston, TX",Orthodontist,Private Practice,DMD,14,Temporary,Medium,Urban,False,Basic,98701.95,362.87,Draw - Term Less than 1 year,,,,The collection details,,6000.0
Julie Espinoza,harrisallison@example.com,"New York, NY",Pedodontist,DSO,DDS with Specialization,8,Full-time,Small,Urban,False,Basic,117220.38,430.96,Guaranteed,,,10.0,The collection details,10000.0,4000.0
Christopher Jackson,ernestmorris@example.org,"Phoenix, AZ",Endodontist,DSO,DDS,20,Part-time,Medium,Urban,True,Native,137568.45,505.77,Guaranteed,,,25.0,,,
Darlene Gibbs,nancycox@example.net,"Chicago, IL",Endodontist,DSO,DMD with Specialization,13,Full-time,Small,Urban,False,Native,120043.12,441.33,Draw - Term More than 1 year,30.0,,25.0,,,6000.0
Anthony Stanley,archeralvin@example.org,"Los Angeles, CA",Orthodontist,DSO,DDS with Specialization,24,Contract,Medium,Urban,True,Fluent,103128.36,379.15,Draw - Term More than 1 year,20.0,,40.0,,15000.0,6000.0
Jennifer Davis,william67@example.com,"Los Angeles, CA",Pedodontist,Private Practice,DMD with Specialization,28,Part-time,Large,Rural,False,Proficient,94167.21,346.2,Draw,10.0,,20.0,,15000.0,6000.0
John Pratt,phendricks@example.net,"Los Angeles, CA",General Dentist,Private Practice,DMD with Specialization,26,Part-time,Small,Urban,False,Proficient,146753.85,539.54,Draw,25.0,The production details,40.0,The collection details,10000.0,
Kiara Pham,laura36@example.org,"Chicago, IL",General Dentist,DSO,DDS,30,Temporary,Large,Rural,False,Proficient,142612.47,524.31,Draw,50.0,,15.0,The collection details,5000.0,6000.0
Natalie Ayers,stewartmakayla@example.com,"Los Angeles, CA",Orthodontist,Private Practice,DDS,23,Temporary,Small,Rural,True,Native,105657.08,388.45,Draw - Term More than 1 year,15.0,The production details,40.0,,5000.0,6000.0
Ethan Sanchez,clairedavis@example.org,"Chicago, IL",Orthodontist,Private Practice,DMD,28,Contract,Small,Urban,True,Native,143400.47,527.21,Guaranteed,15.0,The production details,,The collection details,15000.0,6000.0
William Kennedy,jill06@example.net,"New York, NY",General Dentist,Private Practice,DMD with Specialization,1,Temporary,Large,Rural,False,Native,90075.19,331.16,Draw,15.0,,,,,2000.0
Nicholas Dixon,williamsdaniel@example.org,"Los Angeles, CA",Pedodontist,Private Practice,DDS with Specialization,4,Contract,Small,Rural,False,Native,91722.0,337.21,Guaranteed,10.0,The production details,,,15000.0,6000.0
Melissa Taylor,morseaustin@example.net,"Chicago, IL",Pedodontist,Private Practice,DDS with Specialization,25,Full-time,Large,Urban,True,Native,113227.07,416.28,Draw - Term More than 1 year,25.0,,10.0,The collection details,10000.0,
John Chen,brookscarrie@example.com,"Phoenix, AZ",Periodontist,DSO,DDS,1,Full-time,Medium,Rural,False,Native,91821.83,337.58,Draw - Term Less than 1 year,50.0,The production details,50.0,,15000.0,2000.0
Danielle Anderson,edwardhouston@example.com,"New York, NY",Periodontist,Private Practice,DDS with Specialization,24,Contract,Medium,Urban,True,Basic,102782.72,377.88,Draw - Term More than 1 year,40.0,The production details,,,5000.0,6000.0
Christina Hardin,nandrews@example.org,"Los Angeles, CA",Orthodontist,Private Practice,DMD with Specialization,17,Part-time,Medium,Urban,True,Basic,143507.19,527.6,Draw - Term More than 1 year,,,20.0,The collection details,5000.0,2000.0
Jasmine Herman,jay12@example.org,"Los Angeles, CA",Periodontist,Private Practice,DDS with Specialization,16,Part-time,Large,Urban,False,Fluent,84502.18,310.67,Draw - Term Less than 1 year,30.0,The production details,,,15000.0,2000.0
Tracy Cooper,paulkelly@example.org,"Phoenix, AZ",Pedodontist,Private Practice,DDS,6,Temporary,Small,Rural,True,Fluent,118855.93,436.97,Draw,25.0,,20.0,,,6000.0
Brittany Torres,allisoncharles@example.net,"Los Angeles, CA",Periodontist,DSO,DDS,27,Full-time,Large,Urban,True,Basic,88498.26,325.36,Draw - Term More than 1 year,20.0,The production details,10.0,The collection details,5000.0,6000.0
Lisa Logan,saraharris@example.com,"New York, NY",Pedodontist,DSO,DDS with Specialization,28,Full-time,Large,Urban,True,Basic,80882.62,297.36,Draw - Term Less than 1 year,10.0,,30.0,,5000.0,
Lauren Perry,mary49@example.net,"Los Angeles, CA",General Dentist,Private Practice,DMD with Specialization,0,Full-time,Large,Urban,True,Fluent,122837.73,451.61,Draw - Term More than 1 year,15.0,,50.0,,5000.0,6000.0
Andrew Garcia,williamnichols@example.com,"Los Angeles, CA",Orthodontist,DSO,DMD with Specialization,9,Temporary,Medium,Rural,False,Fluent,141631.39,520.7,Draw - Term More than 1 year,,,40.0,,,6000.0
Nina Hernandez MD,aaron01@example.net,"Phoenix, AZ",Pedodontist,DSO,DDS with Specialization,23,Temporary,Large,Rural,False,Proficient,143385.87,527.15,Guaranteed,,,,,10000.0,4000.0
Susan Brown,danamurray@example.com,"Houston, TX",Periodontist,Private Practice,DMD,28,Temporary,Small,Urban,False,Proficient,86351.45,317.47,Guaranteed,,,15.0,,15000.0,6000.0
Gregory Burke,mary42@example.org,"Chicago, IL",Periodontist,DSO,DMD with Specialization,10,Temporary,Large,Rural,True,Native,90765.57,333.7,Draw - Term More than 1 year,10.0,,25.0,,15000.0,6000.0
Christopher Powers,millerjeffery@example.com,"Chicago, IL",Pedodontist,DSO,DDS with Specialization,3,Contract,Small,Urban,False,Proficient,98050.83,360.48,Draw,40.0,,25.0,,5000.0,2000.0
John Terrell,msmith@example.com,"Chicago, IL",Endodontist,DSO,DDS with Specialization,22,Part-time,Large,Urban,False,Fluent,88964.9,327.08,Draw - Term Less than 1 year,,,20.0,,5000.0,
Kim Robinson,egibson@example.com,"Los Angeles, CA",Orthodontist,Private Practice,DMD,26,Temporary,Large,Rural,True,Proficient,92099.48,338.6,Draw,15.0,,25.0,The collection details,15000.0,6000.0
Kevin Johnson,mary58@example.com,"Phoenix, AZ",General Dentist,Private Practice,DMD with Specialization,20,Full-time,Large,Urban,True,Proficient,141556.9,520.43,Draw - Term Less than 1 year,,The production details,,,5000.0,
Nicole Benson,nelsonbenjamin@example.org,"New York, NY",Pedodontist,Private Practice,DDS with Specialization,14,Part-time,Small,Rural,True,Native,115035.02,422.92,Draw,,,15.0,,15000.0,4000.0
Jerry Ramirez,matthewlee@example.org,"Los Angeles, CA",Pedodontist,DSO,DMD,18,Full-time,Small,Urban,True,Basic,125181.86,460.23,Guaranteed,40.0,The production details,15.0,,10000.0,
Crystal Gonzales,wduncan@example.org,"Phoenix, AZ",General Dentist,Private Practice,DDS,23,Contract,Large,Rural,True,Fluent,107747.18,396.13,Draw - Term Less than 1 year,25.0,,,,5000.0,
Justin Pierce,kwest@example.net,"Houston, TX",Endodontist,DSO,DDS with Specialization,20,Temporary,Medium,Rural,True,Native,87890.84,323.13,Draw - Term Less than 1 year,40.0,The production details,15.0,,10000.0,6000.0
Ernest Ramirez,greenchristina@example.com,"Houston, TX",Periodontist,Private Practice,DDS,20,Part-time,Large,Urban,False,Proficient,149314.97,548.95,Guaranteed,,,30.0,The collection details,10000.0,
Kathleen Richards,reidpatricia@example.net,"Chicago, IL",Periodontist,DSO,DDS with Specialization,4,Part-time,Medium,Rural,True,Native,81323.05,298.98,Draw,10.0,,25.0,,,
Larry Schmidt,dawsonchristine@example.net,"Phoenix, AZ",Periodontist,DSO,DMD with Specialization,5,Contract,Large,Urban,True,Native,114502.49,420.97,Draw - Term Less than 1 year,15.0,,30.0,The collection details,15000.0,
Paul Hooper,stephanie83@example.com,"Los Angeles, CA",Endodontist,Private Practice,DMD with Specialization,12,Part-time,Medium,Rural,False,Native,108626.41,399.36,Draw - Term More than 1 year,30.0,The production details,,,10000.0,
Lisa Ramirez,gary17@example.org,"New York, NY",General Dentist,Private Practice,DDS with Specialization,24,Full-time,Medium,Urban,False,Basic,106551.37,391.73,Guaranteed,,,20.0,The collection details,,2000.0
Dr. Benjamin Rojas,michaelhuang@example.com,"Los Angeles, CA",Endodontist,DSO,DDS with Specialization,16,Contract,Large,Rural,False,Basic,81145.96,298.33,Draw - Term Less than 1 year,40.0,The production details,30.0,The collection details,5000.0,4000.0
Mrs. Laura Mcintosh,connie96@example.org,"New York, NY",Pedodontist,DSO,DDS,25,Contract,Large,Urban,False,Native,120027.98,441.28,Draw - Term Less than 1 year,,The production details,50.0,,15000.0,4000.0
Angela Cooper,alyssapeters@example.net,"Los Angeles, CA",Endodontist,Private Practice,DDS with Specialization,3,Temporary,Large,Rural,True,Fluent,121636.63,447.19,Draw - Term Less than 1 year,,,50.0,,5000.0,2000.0
Kevin Payne,cathy39@example.net,"Phoenix, AZ",Periodontist,DSO,DDS with Specialization,26,Temporary,Small,Urban,True,Fluent,128111.42,471.0,Draw - Term More than 1 year,,,40.0,,10000.0,4000.0
Austin Jennings,christopher84@example.net,"New York, NY",General Dentist,DSO,DDS,11,Contract,Medium,Urban,True,Basic,138725.1,510.02,Draw - Term Less than 1 year,15.0,,,,,4000.0
Bridget Shaw,qjordan@example.org,"Phoenix, AZ",Pedodontist,Private Practice,DDS with Specialization,14,Contract,Large,Urban,False,Native,149928.19,551.21,Draw - Term Less than 1 year,25.0,,15.0,,5000.0,2000.0
Hector Lloyd,nicole30@example.net,"Chicago, IL",General Dentist,DSO,DMD,14,Full-time,Medium,Rural,True,Proficient,141712.51,521.0,Draw - Term Less than 1 year,15.0,,,The collection details,,
Paul Watts,boyddominic@example.org,"Phoenix, AZ",Endodontist,Private Practice,DMD,10,Contract,Small,Rural,True,Proficient,80155.17,294.69,Guaranteed,25.0,,25.0,,10000.0,6000.0
Michael Little,vsmith@example.com,"New York, NY",General Dentist,DSO,DDS,7,Contract,Medium,Rural,True,Basic,111759.03,410.88,Draw - Term More than 1 year,40.0,The production details,50.0,,15000.0,
Lisa Thomas,cooklouis@example.com,"Houston, TX",Pedodontist,Private Practice,DDS,16,Temporary,Large,Urban,False,Basic,119983.1,441.11,Guaranteed,50.0,,,,5000.0,2000.0
Nicole Silva,amber04@example.net,"Chicago, IL",Pedodontist,Private Practice,DDS,5,Part-time,Small,Urban,False,Fluent,132968.66,488.86,Guaranteed,10.0,The production details,10.0,The collection details,5000.0,
Amanda Johnson,moniquesmith@example.net,"Los Angeles, CA",Periodontist,Private Practice,DMD,5,Part-time,Medium,Rural,True,Native,106211.86,390.48,Draw - Term More than 1 year,,The production details,40.0,,10000.0,4000.0
Tammy Morgan,gnguyen@example.com,"Los Angeles, CA",Periodontist,Private Practice,DMD,24,Part-time,Large,Urban,False,Fluent,83282.35,306.19,Draw - Term Less than 1 year,15.0,,,,,2000.0
Alex Smith,lewismichelle@example.com,"Chicago, IL",Periodontist,DSO,DDS,28,Part-time,Large,Urban,True,Basic,114663.98,421.56,Guaranteed,50.0,,20.0,,5000.0,4000.0
Sarah Robinson,fsweeney@example.net,"Phoenix, AZ",General Dentist,DSO,DDS with Specialization,9,Temporary,Medium,Urban,True,Fluent,94914.81,348.95,Draw - Term More than 1 year,30.0,,10.0,The collection details,5000.0,2000.0
Lauren Lloyd,smithwilliam@example.net,"Houston, TX",Pedodontist,DSO,DDS,15,Contract,Medium,Rural,True,Proficient,111267.07,409.07,Draw - Term More than 1 year,,The production details,10.0,,10000.0,6000.0
Jennifer Malone,shawn32@example.com,"Houston, TX",General Dentist,Private Practice,DMD with Specialization,7,Full-time,Large,Urban,False,Basic,128993.88,474.24,Draw - Term More than 1 year,10.0,,,,10000.0,
Sharon Campbell,kimberlyrubio@example.org,"Los Angeles, CA",Pedodontist,Private Practice,DMD with Specialization,12,Temporary,Medium,Urban,False,Native,125715.85,462.19,Draw,25.0,,,The collection details,10000.0,4000.0
Wayne Black,whiterobert@example.net,"Phoenix, AZ",Pedodontist,Private Practice,DDS,13,Temporary,Large,Rural,False,Basic,91462.79,336.26,Guaranteed,,,,The collection details,15000.0,2000.0
James White,estewart@example.org,"New York, NY",General Dentist,Private Practice,DDS,7,Part-time,Small,Urban,False,Proficient,116903.18,429.79,Draw - Term Less than 1 year,15.0,,15.0,The collection details,5000.0,
Dr. David Casey,mitchellcathy@example.org,"New York, NY",Pedodontist,Private Practice,DDS,29,Full-time,Small,Rural,False,Native,137778.41,506.54,Draw - Term Less than 1 year,,The production details,30.0,The collection details,5000.0,2000.0
Charles Cain,kara98@example.org,"Phoenix, AZ",Orthodontist,Private Practice,DMD,5,Contract,Large,Rural,False,Fluent,139501.15,512.87,Draw,20.0,The production details,15.0,,15000.0,6000.0
Katelyn Brown,marcia68@example.net,"Chicago, IL",Periodontist,DSO,DMD with Specialization,26,Contract,Medium,Rural,True,Fluent,138683.76,509.87,Draw - Term Less than 1 year,40.0,The production details,50.0,,5000.0,4000.0
Carmen Martin,anthonydowns@example.com,"Chicago, IL",Orthodontist,DSO,DDS with Specialization,16,Temporary,Medium,Rural,True,Native,87049.93,320.04,Guaranteed,20.0,The production details,15.0,The collection details,5000.0,
